Filename,Doppler_Angle
09-41-06_1_-30.jpg,58.3653
09-41-06_1_-25.jpg,63.3653
09-41-06_1_-20.jpg,68.3653
09-41-06_1_-15.jpg,73.3653
09-41-06_1_-10.jpg,78.3653
09-41-06_1_-5.jpg,83.3653
09-41-06_1_0.jpg,88.3653
09-41-06_1_5.jpg,93.3653
09-41-06_1_10.jpg,98.3653
09-41-06_1_15.jpg,103.3653
09-41-06_1_20.jpg,108.3653
09-41-06_1_25.jpg,113.3653
09-41-06_1_30.jpg,118.3653
09-41-06_2_-30.jpg,58.2701
09-41-06_2_-25.jpg,63.2701
09-41-06_2_-20.jpg,68.2701
09-41-06_2_-15.jpg,73.2701
09-41-06_2_-10.jpg,78.2701
09-41-06_2_-5.jpg,83.2701
09-41-06_2_0.jpg,88.2701
09-41-06_2_5.jpg,93.2701
09-41-06_2_10.jpg,98.2701
09-41-06_2_15.jpg,103.2701
09-41-06_2_20.jpg,108.2701
09-41-06_2_25.jpg,113.2701
09-41-06_2_30.jpg,118.2701
09-42-05_1_-30.jpg,58.6269
09-42-05_1_-25.jpg,63.6269
09-42-05_1_-20.jpg,68.6269
09-42-05_1_-15.jpg,73.6269
09-42-05_1_-10.jpg,78.6269
09-42-05_1_-5.jpg,83.6269
09-42-05_1_0.jpg,88.6269
09-42-05_1_5.jpg,93.6269
09-42-05_1_10.jpg,98.6269
09-42-05_1_15.jpg,103.6269
09-42-05_1_20.jpg,108.6269
09-42-05_1_25.jpg,113.6269
09-42-05_1_30.jpg,118.6269
09-42-05_2_-30.jpg,57.9302
09-42-05_2_-25.jpg,62.9302
09-42-05_2_-20.jpg,67.9302
09-42-05_2_-15.jpg,72.9302
09-42-05_2_-10.jpg,77.9302
09-42-05_2_-5.jpg,82.9302
09-42-05_2_0.jpg,87.9302
09-42-05_2_5.jpg,92.9302
09-42-05_2_10.jpg,97.9302
09-42-05_2_15.jpg,102.9302
09-42-05_2_20.jpg,107.9302
09-42-05_2_25.jpg,112.9302
09-42-05_2_30.jpg,117.9302
09-43-07_1_-30.jpg,55.1452
09-43-07_1_-25.jpg,60.1452
09-43-07_1_-20.jpg,65.1452
09-43-07_1_-15.jpg,70.1452
09-43-07_1_-10.jpg,75.1452
09-43-07_1_-5.jpg,80.1452
09-43-07_1_0.jpg,85.1452
09-43-07_1_5.jpg,90.1452
09-43-07_1_10.jpg,95.1452
09-43-07_1_15.jpg,100.1452
09-43-07_1_20.jpg,105.1452
09-43-07_1_25.jpg,110.1452
09-43-07_1_30.jpg,115.1452
09-43-07_2_-30.jpg,55.38
09-43-07_2_-25.jpg,60.38
09-43-07_2_-20.jpg,65.38
09-43-07_2_-15.jpg,70.38
09-43-07_2_-10.jpg,75.38
